ticker,model,accuracy,precision,recall,f1_score
AAPL,Logistic,0.5579150579150579,0.5599214145383105,0.9827586206896551,0.7133917396745932
AAPL,DecisionTree,0.5521235521235521,0.5671296296296297,0.8448275862068966,0.6786703601108034
AAPL,RandomForest,0.5444015444015444,0.5546558704453441,0.9448275862068966,0.6989795918367347
AAPL,GradientBoosting,0.5347490347490348,0.5538461538461539,0.8689655172413793,0.6765100671140939
MSFT,Logistic,0.5656370656370656,0.566990291262136,0.9931972789115646,0.7218788627935723
MSFT,DecisionTree,0.5521235521235521,0.5711009174311926,0.8469387755102041,0.6821917808219178
MSFT,RandomForest,0.5463320463320464,0.5603271983640081,0.9319727891156463,0.6998722860791825
MSFT,GradientBoosting,0.5405405405405406,0.5627802690582959,0.8537414965986394,0.6783783783783783
GOOGL,Logistic,0.5714285714285714,0.564870259481038,0.9860627177700348,0.7182741116751269
GOOGL,DecisionTree,0.527027027027027,0.551980198019802,0.7770034843205574,0.6454413892908828
GOOGL,RandomForest,0.5598455598455598,0.5642701525054467,0.9024390243902439,0.6943699731903485
GOOGL,GradientBoosting,0.5444015444015444,0.5611510791366906,0.8153310104529616,0.6647727272727272
